Name,Address,City,State,Zip,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source
DILLEY IMMIGRATION PROCESSING CENTER,300 EL RANCHO WAY,DILLEY,TX,78017,28.658454,-99.200878,1,rooftop,300 El Rancho Way,,"Dilley, TX 78017",300,El Rancho Way,,,Dilley,TX,Frio County,78017,US,Statewide TX
STE. GENEVIEVE COUNTY SHERIFF-JAIL,5 BASLER DR.,STE. GENEVIEVE,MO,63670,37.96562235,-90.05540283,1,range_interpolation,5 Basler Dr,Ste GENEVIEVE,"Sainte Genevieve, MO 63670",5,Basler Dr,Ste,GENEVIEVE,Sainte Genevieve,MO,Ste. Genevieve County,63670,US,TIGER/Line® dataset from the US Census Bureau
STRAFFORD COUNTY CORRECTIONS,266 COUNTY FARM ROAD,DOVER,NH,3820,43.219176,-70.938666,1,range_interpolation,266 County Farm Rd,,"Dover, NH 03820",266,County Farm Rd,,,Dover,NH,Strafford County,3820,US,TIGER/Line® dataset from the US Census Bureau
STEWART DETENTION CENTER,146 CCA ROAD,LUMPKIN,GA,31815,32.039122,-84.770133,0.7,street_center,Cca Rd,,"Lumpkin, GA 31815",,Cca Rd,,,Lumpkin,GA,Stewart County,31815,US,TIGER/Line® dataset from the US Census Bureau
SWEETWATER COUNTY JAIL,50140 UNITED STATES HIGHWAY 191 SOUTH,ROCK SPRINGS,WY,82935,41.53817479,-109.2985447,0.57,street_center,Spring View Dr,,"Green River, WY 82935",,Spring View Dr,,,Green River,WY,Sweetwater County,82935,US,TIGER/Line® dataset from the US Census Bureau
TWO BRIDGES REGIONAL JAIL,522 BATH RD,WISCASSET,ME,4578,43.978373,-69.698718,1,rooftop,522 Bath Rd,,"Wiscasset, ME 04578",522,Bath Rd,,,Wiscasset,ME,Lincoln County,4578,US,Maine Office of GIS
TOOELE COUNTY JAIL,47 SOUTH MAIN STREET,TOOELE,UT,84074,40.529613,-112.297745,1,rooftop,47 S Main St,,"Tooele, UT 84074",47,S Main St,,,Tooele,UT,Tooele County,84074,US,Utah AGRC (and individual UT counties)
TORRANCE COUNTY DETENTION FACILITY,209 COUNTY ROAD 49,ESTANCIA,NM,87016,34.76749723,-106.018635,0.5,place,,,"Estancia, NM 87016",,,,,Estancia,NM,Torrance County,87016,US,TIGER/Line® dataset from the US Census Bureau
TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),300 NORTH DENVER AVENUE,TULSA,OK,74103,36.157613,-95.999021,1,rooftop,300 N Denver Ave W,,"Tulsa, OK 74103",300,N Denver Ave W,,,Tulsa,OK,Tulsa County,74103,US,Tulsa
UINTA COUNTY JAIL,77 COUNTY ROAD 109,EVANSTON,WY,82930,41.270361,-110.963852,1,rooftop,77 County Rd,109,"Evanston, WY 82930",77,County Rd,,109,Evanston,WY,Uinta County,82930,US,Statewide WY
CHITTENDEN REGIONAL CORRECTIONAL FACILITY,7 FARRELL STREET,SOUTH BURLINGTON,VT,5403,44.446398,-73.205381,1,rooftop,7 Farrell St,,"South Burlington, VT 05403",7,Farrell St,,,South Burlington,VT,Chittenden County,5403,US,"Statewide (VT Enhanced 911 Board, VCGI)"
NORTHWEST STATE CORRECTIONAL CENTER,3649 LOWER NEWTON ROAD,SWANTON,VT,5488,44.850446,-73.133281,1,rooftop,3649 Lower Newton Rd,,"Swanton, VT 05488",3649,Lower Newton Rd,,,Swanton,VT,Franklin County,5488,US,"Statewide (VT Enhanced 911 Board, VCGI)"
WASHINGTON COUNTY JAIL (PURGATORY CORRECTIONAL FACILITY),750 SOUTH 5300 WEST,HURRICANE,UT,84737,37.158392,-113.412233,1,rooftop,750 S 5300 W,,"Hurricane, UT 84737",750,S 5300 W,,,Hurricane,UT,Washington County,84737,US,Washington
WASHINGTON COUNTY DETENTION CENTER,1155 WEST CLYDESDALE DRIVE,FAYETTEVILLE,AR,72701,36.033446,-94.177403,1,rooftop,1155 W Clydesdale Dr,,"Fayetteville, AR 72701",1155,W Clydesdale Dr,,,Fayetteville,AR,Washington County,72701,US,City of Fayetteville
WASHOE COUNTY JAIL,911 PARR BLVD 775 328 3308,RENO,NV,89506,39.574718,-119.813104,0.99,rooftop,911 Parr Blvd,3308,"Reno, NV 89512",911,Parr Blvd,,3308,Reno,NV,Washoe County,89512,US,Washoe
WAUKESHA COUNTY JAIL,515 WEST MORELAND,WAUKESHA,WI,53186,43.02244,-88.228568,1,rooftop,515 W Moreland Blvd,,"Waukesha, WI 53188",515,W Moreland Blvd,,,Waukesha,WI,Waukesha County,53188,US,Waukesha
BROWARD TRANSITIONAL CENTER,3900 NORTH POWERLINE ROAD,POMPANO BEACH,FL,33073,26.277176,-80.150897,1,rooftop,3900 N Powerline Rd,,"Pompano Beach, FL 33073",3900,N Powerline Rd,,,Pompano Beach,FL,Broward County,33073,US,Broward
WEBB COUNTY DETENTION CENTER (CCA),9998 SOUTH HIGHWAY 83,LAREDO,TX,78041,27.37007044,-99.49036428,0.69,nearest_rooftop_match,9999 US-83,,"Laredo, TX 78046",9999,US-83,,,Laredo,TX,Webb County,78046,US,Statewide (CC 0 Texas Natural Resources Information System)
WALTON COUNTY JAIL,40 SHERIFF CIR,DEFUNIAK SPRINGS,FL,32433,30.783466,-86.103999,1,rooftop,40 Sheriff Cir,,"Defuniak Springs, FL 32433",40,Sheriff Cir,,,Defuniak Springs,FL,Walton County,32433,US,Walton
WOODBURY COUNTY JAIL,407 7TH STREET,SIOUX CITY,IA,51101,42.49776,-96.405896,1,rooftop,407 7th St,,"Sioux City, IA 51101",407,7th St,,,Sioux City,IA,Woodbury County,51101,US,Statewide IA
NORTHERN REGIONAL JAIL,"RD. 2, BOX 1",MOUNDSVILLE,WV,26041,39.925201,-80.744538,0.8,nearest_rooftop_match,100 1st St,,"Moundsville, WV 26041",100,1st St,,,Moundsville,WV,Marshall County,26041,US,Marshall
SOUTH CENTRAL REGIONAL JAIL,1001 CENTER WAY,CHARLESTON,WV,25309,38.310996,-81.710286,1,rooftop,1001 Centre Way,,"South Charleston, WV 25309",1001,Centre Way,,,South Charleston,WV,Kanawha County,25309,US,Kanawha
WYATT DETENTION CENTER,950 HIGH STREET,CENTRAL FALLS,RI,2863,41.892328,-71.384013,1,rooftop,950 High St,,"Central Falls, RI 02863",950,High St,,,Central Falls,RI,Providence County,2863,US,Statewide RI
LOGAN COUNTY JAIL,216 S BROAD ST,GUTHRIE,OK,73044,35.87653029,-97.4225036,1,rooftop,216 S. Broad St.,,Guthrie,,,,,,,,,,
NATRONA COUNTY JAIL,1100 BRUCE LANE,CASPER,WY,82601,42.86274429,-106.3455026,,,,,,,,,,,,,,,
ELMORE COUNTY JAIL,2255 E. 8TH NORTH,MOUNTAIN HOME,ID,83647,43.13696799,-115.6733537,,,,,,,,,,,,,,,
DOUGLAS COUNTY,1409 HAMMOND AVENUE,SUPERIOR,WI,54880,46.72164923,-92.09819889,,,,,,,,,,,,,,,
BOURBON CO DET CENTER,"BOURBON CO COURTHOUSE, MAIN STREET",PARIS,KY,40361,38.21337034,-84.24844439,,,,,,,,,,,,,,,
BROOKS COUNTY DETENTION CENTER,901 COUNTY ROAD 201,FALFURRIAS,TX,78355,27.24818396,-98.12613816,,,,,,,,,,,,,,,
ERO EL PASO CAMP EAST MONTANA,6920 DIGITAL RD,EL PASO,TX,79936,31.8121544,-106.2980603,,,,,,,,,,,,,,,
FOLKSTON D RAY ICE PROCES,3262 HIGHWAY 252,FOLKSTON,GA,31537,30.838002,-81.999781,,,,,,,,,,,,,,,
PLATTE COUNTY JAIL,850 MAPLE STREET,WHEATLAND,WY,82201,42.05570841,-104.9522498,,,,,,,,,,,,,,,
ROBERT A DEYTON DETENTION FACILITY,11866 HASTINGS BRIDGE ROAD P.O. BOX 429,LOVEJOY,GA,30250,33.43502282,-84.30602475,,,,,,,,,,,,,,,
TURNER GUILFORD KNIGHT (TGK) JAIL,7000 NW 41ST ST.,MIAMI,FL,33166,25.81039226,-80.31145023,,,,,,,,,,,,,,,
DOD DETENTION FACILITY AT FORT BLISS,6920 DIGITAL RD,EL PASO,TX,79936,31.794075,-106.3687978,,,,,,,,,,,,,,,
HALL COUNTY DEPARTMENT OF CORRECTIONS,110 PUBLIC SAFETY DRIVE,GRAND ISLAND,NE,68801,40.92709868,-98.32793483,,,,,,,,,,,,,,,
CALIFORNIA CITY CORRECTIONAL CENTER,22844 VIRGINIA BOULEVARD,CALIFORNIA CITY,CA,93505,35.15194302,-117.8583085,,,,,,,,,,,,,,,
RIVERSIDE REGIONAL JAIL,1000 RIVER ROAD,HOPEWELL,VA,23860,37.30811195,-77.34107624,,,,,,,,,,,,,,,
WARD COUNTY JAIL,P.O. BOX 907,MINOT,ND,58702,48.23383185,-101.2868765,,,,,,,,,,,,,,,
VICTORIA COUNTY JAIL,101 NORTH GLASS STREET,VICTORIA,TX,77901,28.80029058,-97.00745732,,,,,,,,,,,,,,,
NELSON COLEMAN CORRECTION,5061 HIGHWAY 3127,KILLONA,LA,70057,29.99540351,-90.47637401,,,,,,,,,,,,,,,
FOLKSTON D RAY ICE PROCESSING CTR,3262 HIGHWAY 252,FOLKSTON,GA,31537,30.838002,-81.999781,,,,,,,,,,,,,,,
LOUISIANA ICE PROCESSING,18198 TUNICA TRACE BLDG E,ANGOLA,LA,70712,30.94074023,-91.56805267,,,,,,,,,,,,,,,
WESTERN VIRGINIA REGIONAL JAIL,5885 W RIVER RD,SALEM,VA,24153,37.25082085,-80.16974598,,,,,,,,,,,,,,,
FCI ATLANTA,"601 MCDONOUGH BOULEVARD, SE",ATLANTA,GA,30315,33.709503,-84.365903,,,,,,,,,,,,,,,
ETOWAH COUNTY JAIL,827 FORREST AVENUE,GADSDEN,AL,35901,34.01663431,-86.01169504,,,,,,,,,,,,,,,
PICKENS COUNTY DETENTION CENTER,188 CEMETERY ST,CARROLLTON,AL,35447,33.26055851,-88.09532537,,,,,,,,,,,,,,,
ROCKINGHAM COUNTY JAIL,25 SOUTH LIBERTY STREET,HARRISONBURG,VA,22801,38.45597735,-78.8535956,,,,,,,,,,,,,,,
"CAMBRIA COUNTY JAIL, PA",425 MANOR DRIVE+E206B2B206:G206,EBENSBURG,PA,15931,40.48594747,-78.69111782,,,,,,,,,,,,,,,
CHRISTIAN COUNTY JAIL,"410 WEST 7TH STREET,",HOPKINSVILLE,KY,42240,36.86840374,-87.48986296,,,,,,,,,,,,,,,
CROW WING COUNTY JAIL,313 LAUREL ST,BRAINERD,MN,56401,46.35677677,-94.2049656,,,,,,,,,,,,,,,
DAVIS COUNTY,800 WEST STATE STREET,FARMINGTON,UT,84025,40.98029396,-111.9045723,,,,,,,,,,,,,,,
DONA ANA COUNTY DETENTION CENTER,1850 COPPER LOOP,LAS CRUCES,NM,88004,32.30273642,-106.8052911,,,,,,,,,,,,,,,
EASTERN REGIONAL JAIL,94 GRAPEVINE RD,MARTINSBURG,WV,25401,39.4361073,-77.95587648,,,,,,,,,,,,,,,
EL PASO COUNTY DETENTION FACILITY,601 E. OVERLAND,EL PASO,TX,79901,31.75846958,-106.4825328,,,,,,,,,,,,,,,
